,公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,行政區,區域,品牌
6196,22853565,來來超商股份有限公司,70811426,第六八０分公司,臺中市中區中山路２７６號１樓、台中市柳川東路３段２６號１樓,1,臺中市,中,OK
6197,22853565,來來超商股份有限公司,70812831,第六八二分公司,新北市樹林區大安路２５１號１樓,1,新北市,北,OK
6198,22853565,來來超商股份有限公司,70813986,第六九０分公司,新竹縣北埔鄉埔心街７４號,1,新竹縣,北,OK
6199,22853565,來來超商股份有限公司,70816674,第六九八分公司,新北市汐止區湖前街３３號１樓,1,新北市,北,OK
6200,22853565,來來超商股份有限公司,70816935,第七０二分公司,新竹縣竹北市嘉興路333、335號1樓,1,新竹縣,北,OK
6201,22853565,來來超商股份有限公司,70817097,第七０一分公司,桃園市桃園區中山路６７６號１樓,1,桃園市,北,OK
6202,22853565,來來超商股份有限公司,70819742,第七一一分公司,臺北市信義區信安街１４９號１樓,1,臺北市,北,OK
6203,22853565,來來超商股份有限公司,70820614,第七一二分公司,高雄市鳳山區瑞隆東路１７６號１樓,1,高雄市,南,OK
6204,22853565,來來超商股份有限公司,70823703,第七一七分公司,桃園市楊梅區新農街３７７號１樓,1,桃園市,北,OK
6205,22853565,來來超商股份有限公司,70823719,第七一六分公司,新竹縣湖口鄉八德路１段７６１號１樓,1,新竹縣,北,OK
6206,22853565,來來超商股份有限公司,70824317,第七一八分公司,臺北市文山區興隆路４段５５號１樓,1,臺北市,北,OK
6207,22853565,來來超商股份有限公司,70826976,第七二一分公司,桃園市中壢區中央西路２段１４８號１樓,1,桃園市,北,OK
6208,22853565,來來超商股份有限公司,80020823,第二０七分公司,桃園市蘆竹區中正路２０３號１樓,1,桃園市,北,OK
6209,22853565,來來超商股份有限公司,80021034,第六十一分公司,基隆市中正區新豐街４２０號１樓,1,基隆市,北,OK
6210,22853565,來來超商股份有限公司,80021055,第二二三分公司,新北市樹林區保安街２段１０９號１樓,1,新北市,北,OK
6211,22853565,來來超商股份有限公司,80022126,第二四０分公司,臺中市西屯區中工三路６０、６２號１樓,1,臺中市,中,OK
6212,22853565,來來超商股份有限公司,80022701,第三００分公司,高雄市前金區大同一路２０２號１樓,1,高雄市,南,OK
6213,22853565,來來超商股份有限公司,80023342,第三二四分公司,臺中市北屯區文心路４段８９６號１樓,1,臺中市,中,OK
6214,22853565,來來超商股份有限公司,80200971,第三九四分公司,臺北市信義區和平東路３段３４１巷６號１樓,1,臺北市,北,OK
6215,22853565,來來超商股份有限公司,80201021,第七七二分公司,新竹縣竹東鎮中豐路１段７４路１樓,1,新竹縣,北,OK
