公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,lng,lat
22853565,來來超商股份有限公司,53016868,第一○二九分公司,桃園市蘆竹區南竹路5段155號,1,121.261691,25.026015
22853565,來來超商股份有限公司,53017424,第一○四○分公司,高雄市鳳山區仁愛路1號,3,120.3728713,22.6224432
22853565,來來超商股份有限公司,53018015,第六九五分公司,臺中市大里區中興路2段92號,1,120.68724,24.0977449
22853565,來來超商股份有限公司,53018177,第八四七分公司,新北市樹林區柑園街2段119、121號,1,121.3851182,24.9548435
22853565,來來超商股份有限公司,53018726,第八四三分公司,新北市土城區南天母路10號,1,121.4455579,24.9566727
22853565,來來超商股份有限公司,53018731,第九二一分公司,彰化縣和美鎮道周路535號,1,120.4933269,24.109416
22853565,來來超商股份有限公司,53018747,第六三八分公司,臺北市內湖區東湖路113巷49弄72號,3,121.615095,25.070192
22853565,來來超商股份有限公司,53018752,第七七六分公司,臺中市霧峰區錦州路399號,1,120.7085555,24.0778972
22853565,來來超商股份有限公司,53018768,第七一四分公司,雲林縣西螺鎮建興路2號,1,120.4594651,23.7936048
22853565,來來超商股份有限公司,53018900,第六二三分公司,新北市中和區華新街143巷11弄2號,1,121.5066714,24.9812263
22853565,來來超商股份有限公司,53018916,第八八四分公司,臺中市西區向上南路1段129號,1,120.6560393,24.1448834
22853565,來來超商股份有限公司,53019540,第七O九分公司,宜蘭縣5結鄉5結中路2段361巷1號,1,121.7970299,24.6943654
22853565,來來超商股份有限公司,53019598,第八O二分公司,彰化縣2水鄉員集路3段606號,1,120.649092,23.7982685
22853565,來來超商股份有限公司,53020407,第三九八分公司,新北市新莊區民安東路127號,1,121.43097,25.020766
22853565,來來超商股份有限公司,53020434,第四七八分公司,基隆市7堵區明德1路104號,1,121.7137156,25.0978817
22853565,來來超商股份有限公司,53020510,第四五六分公司,新北市5股區御成路75、77號,1,121.441584,25.093014
22853565,來來超商股份有限公司,53021308,第四六一分公司,臺北市中山區吉林路163號,3,121.5303686,25.0590444
22853565,來來超商股份有限公司,53022600,第一三一分公司,桃園市中壢區復華街50號,1,121.2477663,24.9698068
22853565,來來超商股份有限公司,53022616,第三一四分公司,臺中市東區建成路675號,1,120.6898955,24.1313378
22853565,來來超商股份有限公司,53022658,第一二四分公司,桃園市平鎮區延平路3段6之1號,1,121.2058439,24.9420603
22853565,來來超商股份有限公司,53023592,第一０六二分公司,桃園市龍潭區中興路390號,1,121.2312632,24.8733522
22853565,來來超商股份有限公司,53023636,第三八七分公司,彰化縣鹿港鎮鹿和路4段62號,3,120.4817361,24.0859139
22853565,來來超商股份有限公司,53023684,第一０五八分公司,高雄市大社區3民路254、254-1號,3,120.3483669,22.7278033
22853565,來來超商股份有限公司,53024810,第九五八分公司,基隆市中正區中船路134號,1,121.7510631,25.1382677
22853565,來來超商股份有限公司,53024826,第一00九分公司,彰化縣和美鎮彰美路3段438號,1,120.51604,24.103238
22853565,來來超商股份有限公司,53025043,第八三八分公司,新北市中和區員山路148巷23弄28號,1,121.4823463,24.9976763
22853565,來來超商股份有限公司,53025156,第九二二分公司,桃園市大園區中正東路340之2號,3,121.207764,25.0601571
22853565,來來超商股份有限公司,53025542,第八二七分公司,臺南市東區自由路1段322號,1,120.2377342,22.9705677
22853565,來來超商股份有限公司,53025557,第八三一分公司,屏東縣屏東市棒球路92號,1,120.4842176,22.6575567
22853565,來來超商股份有限公司,53025613,第八一七分公司,臺南市南區新孝路90號,1,120.1882943,22.9779124
22853565,來來超商股份有限公司,53025634,第九0一分公司,屏東縣屏東市廣東路478號,3,120.5010579,22.6812283
22853565,來來超商股份有限公司,53026606,第一００八分公司,彰化縣和美鎮鹿和路5段188巷3號,3,120.4896895,24.0988851
22853565,來來超商股份有限公司,53026633,第四五八分公司,臺北市北投區石牌路1段166巷97號,3,121.509425,25.1127558
22853565,來來超商股份有限公司,53026654,第四八二分公司,新竹縣新埔鎮文山路亞東段605、607號,1,121.0529441,24.826087
22853565,來來超商股份有限公司,53027295,第四八七分公司,基隆市中山區復興路259巷60號,1,121.725476,25.152439
22853565,來來超商股份有限公司,53027350,第六十五分公司,高雄市路竹區延平路344號,3,120.2528524,22.8572954
22853565,來來超商股份有限公司,53027393,第七四九分公司,臺中市北屯區同榮路262號,3,120.662439,24.19661
22853565,來來超商股份有限公司,53027773,第九十九分公司,新北市板橋區莊敬路220巷17、19號,3,121.4725788,25.0207334
22853565,來來超商股份有限公司,53027794,第五三0分公司,臺北市內湖區內湖路3段60巷10弄1號,1,121.5920622,25.0880065
22853565,來來超商股份有限公司,53027921,第一九0分公司,臺中市豐原區南陽路210之3號,3,120.72764,24.245197
22853565,來來超商股份有限公司,53028772,第一九九分公司,新竹縣湖口鄉8德路2段76號,1,121.0566486,24.878115
22853565,來來超商股份有限公司,53028800,第一０六六分公司,新北市3芝區中山路1段153號,1,121.5023123,25.2561207
22853565,來來超商股份有限公司,53028891,第九六五分公司,南投縣埔里鎮信義路961號,1,120.9591698,23.9716038
